Day,pnl_absolute,cum_pnl,roi,returns,pnl_absolute fro excel sheet ,difference
2022-09-27,-665,-24001.25,-16,-16.0008333333333,7503.75,8168.75
2022-09-28,767.5,-23233.75,-15.49,-15.4891666666667,-9798.75,-10566.25
2022-09-29,-1967.5,-25201.25,-16.8,-16.8008333333333,7410,9377.5
2022-09-30,-361.25,-25562.5,-17.04,-17.0416666666667,-18133.75,-17772.5
2022-10-03,-18.75,-25581.25,-17.05,-17.0541666666667,14672.5,14691.25
2022-10-04,-50,-25631.25,-17.09,-17.0875,-7467.5,-7417.5
2022-10-06,5938.75,-19692.5,-13.13,-13.1283333333333,5213.75,-725
2022-10-07,81.25,-19611.25,-13.07,-13.0741666666667,1032.5,951.25
2022-10-10,-311.25,-19922.5,-13.28,-13.2816666666667,-3006.25,-2695
2022-10-11,350,-19572.5,-13.05,-13.0483333333333,7766.25,7416.25
2022-10-12,-277.5,-19850,-13.23,-13.2333333333333,-5797.5,-5520
2022-10-13,-1836.25,-21686.25,-14.46,-14.4575,8132.5,9968.75
2022-10-14,118.75,-21567.5,-14.38,-14.3783333333333,-3655,-3773.75
2022-10-17,-527.5,-22095,-14.73,-14.73,-8118.75,-7591.25
2022-10-18,141.25,-21953.75,-14.64,-14.6358333333333,3235,3093.75
2022-10-19,1028.75,-20925,-13.95,-13.95,3941.25,2912.5
2022-10-20,4206.25,-16718.75,-11.15,-11.1458333333333,931.25,-3275
2022-10-21,-200,-16918.75,-11.28,-11.2791666666667,-765,-565
2022-10-25,613.75,-16305,-10.87,-10.87,2363.75,1750
2022-10-27,2851.25,-13453.75,-8.97,-8.96916666666667,3567.5,716.25
2022-10-28,-142.5,-13596.25,-9.06,-9.06416666666667,6473.75,6616.25
2022-10-31,110,-13486.25,-8.99,-8.99083333333333,-7197.5,-7307.5
2022-11-01,36.25,-13450,-8.97,-8.96666666666667,3798.75,3762.5
2022-11-02,-60,-13510,-9.01,-9.00666666666667,-1727.5,-1667.5
2022-11-03,-1897.5,-15407.5,-10.27,-10.2716666666667,-7187.5,-5290
2022-11-04,130,-15277.5,-10.18,-10.185,5883.75,5753.75
2022-11-07,430,-14847.5,-9.9,-9.89833333333333,-943.75,-1373.75
2022-11-09,666.25,-14181.25,-9.45,-9.45416666666667,-83.75,-750
2022-11-10,3206.25,-10975,-7.32,-7.31666666666667,1886.25,-1320
2022-11-11,55,-10920,-7.28,-7.28,852.5,797.5
2022-11-14,240,-10680,-7.12,-7.12,975,735
2022-11-15,41.25,-10638.75,-7.09,-7.0925,-800,-841.25
2022-11-16,-218.75,-10857.5,-7.24,-7.23833333333333,-1323.75,-1105
2022-11-17,3531.25,-7326.25,-4.88,-4.88416666666667,2902.5,-628.75
2022-11-18,238.75,-7087.5,-4.72,-4.725,3440,3201.25
2022-11-21,357.5,-6730,-4.49,-4.48666666666667,91.25,-266.25
2022-11-22,483.75,-6246.25,-4.16,-4.16416666666667,-196.25,-680
2022-11-23,-1498.75,-7745,-5.16,-5.16333333333333,-2503.75,-1005
2022-11-24,-922.5,-8667.5,-5.78,-5.77833333333333,-52.5,870
2022-11-25,211.25,-8456.25,-5.64,-5.6375,1665,1453.75
2022-11-28,-395,-8851.25,-5.9,-5.90083333333333,-2780,-2385
2022-11-29,461.25,-8390,-5.59,-5.59333333333333,2257.5,1796.25
2022-11-30,-75,-8465,-5.64,-5.64333333333333,1643.75,1718.75
2022-12-01,-1211.25,-9676.25,-6.45,-6.45083333333333,-18.75,1192.5
2022-12-02,331.25,-9345,-6.23,-6.23,-3106.25,-3437.5
2022-12-05,-332.5,-9677.5,-6.45,-6.45166666666667,-1305,-972.5
2022-12-06,2.5,-9675,-6.45,-6.45,1700,1697.5
2022-12-07,848.75,-8826.25,-5.88,-5.88416666666667,565,-283.75
2022-12-08,-1205,-10031.25,-6.69,-6.6875,-2205,-1000
2022-12-09,20,-10011.25,-6.67,-6.67416666666667,2963.75,2943.75
2022-12-12,-466.25,-10477.5,-6.98,-6.985,-4513.75,-4047.5
2022-12-13,106.25,-10371.25,-6.91,-6.91416666666667,1278.75,1172.5
2022-12-14,323.75,-10047.5,-6.7,-6.69833333333333,493.75,170
2022-12-15,-5362.5,-15410,-10.27,-10.2733333333333,-551.25,4811.25
