,Unnamed: 0,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
72,72,NSE_FO:NIFTY12JAN2317750PE [LOCAL],2023-01-12 11:54:00+05:30,c757f021e999450d89ddd13cd519182d,SELL,50,21.65,INTRADAY,MARKET,2023-01-12 15:10:00+05:30,da1cc8ab64aa46a2b01e26e25cd79f11,BUY,50,0.2,INTRADAY,MARKET,1072.5,-1282.5,99.08,-2.56,48717.5,-6.51
73,73,NSE_FO:NIFTY12JAN2317850CE [LOCAL],2023-01-12 10:32:00+05:30,8f8ac9e1c10245a098825981f98fe08b,SELL,50,33.3,INTRADAY,MARKET,2023-01-12 15:10:00+05:30,0924219a77e54d35b9693da02569f4e7,BUY,50,18.95,INTRADAY,MARKET,717.5,-565.0,43.09,-1.13,49435.0,-5.13
74,74,NSE_FO:NIFTY19JAN2317850CE [LOCAL],2023-01-13 09:17:00+05:30,3e599734da604c0fa7573f74040c4ad9,SELL,50,141.0,INTRADAY,MARKET,2023-01-13 12:31:00+05:30,063a3e950fe0403f9835a513e400c52b,BUY,50,167.15,INTRADAY,MARKET,-1307.5,-1872.5,-18.55,-3.74,48127.5,-7.64
75,75,NSE_FO:NIFTY19JAN2318000PE [LOCAL],2023-01-13 13:13:00+05:30,206be8cdcaf5412aa773d1c442d728a1,SELL,50,111.4,INTRADAY,MARKET,2023-01-13 15:10:00+05:30,28be3a6cf4dc4dd8ac9e3aa75c69d223,BUY,50,112.5,INTRADAY,MARKET,-55.0,-1927.5,-0.99,-3.85,48072.5,-7.74
76,76,NSE_FO:NIFTY19JAN2318000CE [LOCAL],2023-01-13 12:31:00+05:30,f1f0d763fefa40a3b7a35273737a6441,SELL,50,86.55,INTRADAY,MARKET,2023-01-13 15:10:00+05:30,14ac37349ea147fc83b7566a1d614adf,BUY,50,99.25,INTRADAY,MARKET,-635.0,-2562.5,-14.67,-5.12,47437.5,-8.96
77,77,NSE_FO:NIFTY19JAN2317850PE [LOCAL],2023-01-13 09:17:00+05:30,c038c5a6a9664565b21703aac890cc64,SELL,50,132.05,INTRADAY,MARKET,2023-01-13 15:10:00+05:30,d0d0d034bd054c55b9dfdc448769d0ca,BUY,50,57.05,INTRADAY,MARKET,3750.0,1187.5,56.8,2.38,51187.5,-1.77
78,78,NSE_FO:NIFTY19JAN2318050PE [LOCAL],2023-01-16 09:17:00+05:30,de54125f233341778b59eb59d7e439aa,SELL,50,102.7,INTRADAY,MARKET,2023-01-16 09:34:00+05:30,a0dd332873c1479dbe543a184637b073,BUY,50,136.7,INTRADAY,MARKET,-1700.0,-512.5,-33.11,-1.03,49487.5,-5.03
79,79,NSE_FO:NIFTY19JAN2317900PE [LOCAL],2023-01-16 09:34:00+05:30,1c060db3a0b942d295d00e8e8d3563f5,SELL,50,67.15,INTRADAY,MARKET,2023-01-16 15:10:00+05:30,fd73878c72ee49faab343be4893185e0,BUY,50,86.45,INTRADAY,MARKET,-965.0,-1477.5,-28.74,-2.96,48522.5,-6.88
80,80,NSE_FO:NIFTY19JAN2317950CE [LOCAL],2023-01-16 12:16:00+05:30,ff6efee1f3914a7a99dbb383965eda0f,SELL,50,82.75,INTRADAY,MARKET,2023-01-16 15:10:00+05:30,6b8c042f49734a94b24c79fd3a68b8de,BUY,50,75.15,INTRADAY,MARKET,380.0,-1097.5,9.18,-2.2,48902.5,-6.15
81,81,NSE_FO:NIFTY19JAN2318050CE [LOCAL],2023-01-16 09:17:00+05:30,38bb6aa12edb4054aea55aaa09e7188c,SELL,50,96.7,INTRADAY,MARKET,2023-01-16 15:10:00+05:30,b95a04c728ca4b7e8b7205bc04cdab37,BUY,50,40.5,INTRADAY,MARKET,2810.0,1712.5,58.12,3.43,51712.5,-0.76
82,82,NSE_FO:NIFTY19JAN2317900CE [LOCAL],2023-01-17 09:17:00+05:30,e38e5f310fab412fa10be7da5ac48201,SELL,50,94.35,INTRADAY,MARKET,2023-01-17 09:31:00+05:30,0fa006e70bee4f5796815b9606b63d3d,BUY,50,127.85,INTRADAY,MARKET,-1675.0,37.5,-35.51,0.07,50037.5,-3.97
