,Unnamed: 0,id,strategy,instrument_str,entry_timestamp,entry_transaction_type,entry_quantity,entry_price,exit_timestamp,exit_transaction_type,exit_quantity,exit_price,pnl_absolute,pnl_percentage,pnl_cumulative_absolute,pnl_cumulative_percentage,equity_curve,drawdown_percentage
10286,5259,1432660,3092,NSE_FO:BANKNIFTY05AUG2134800PE,2021-08-02 09:25:00,1,25,265.0,2021-08-02 15:09:00,0.0,25.0,272.75,-193.75,-2.92,259935.0,152.01,430935.0,-0.04
10287,5260,1432659,3092,NSE_FO:BANKNIFTY05AUG2134800CE,2021-08-02 09:25:00,1,25,254.1,2021-08-02 15:09:00,0.0,25.0,202.9,1280.0,20.15,260128.75,152.12,431128.75,0.0
10288,5261,1432658,3092,NSE_FO:BANKNIFTY05AUG2134600PE,2021-07-30 09:25:00,1,25,318.9,2021-07-30 15:09:00,0.0,25.0,296.9,550.0,6.9,258848.75,151.37,429848.75,0.0
10289,5262,1432657,3092,NSE_FO:BANKNIFTY05AUG2134600CE,2021-07-30 09:25:00,1,25,350.0,2021-07-30 15:09:00,0.0,25.0,283.0,1675.0,19.14,258298.75,151.05,429298.75,0.0
10290,5263,1432656,3092,NSE_FO:BANKNIFTY29JUL2134700PE,2021-07-29 15:06:00,1,25,18.85,2021-07-29 15:09:00,0.0,25.0,28.15,-232.5,-49.34,256623.75,150.07,427623.75,-0.39
10291,5264,1432655,3092,NSE_FO:BANKNIFTY29JUL2134700CE,2021-07-29 15:06:00,1,25,8.55,2021-07-29 15:09:00,0.0,25.0,3.65,122.5,57.31,256856.25,150.21,427856.25,-0.34
10292,5265,1432654,3092,NSE_FO:BANKNIFTY29JUL2134700PE,2021-07-29 15:02:00,1,25,19.8,2021-07-29 15:06:00,0.0,25.0,18.85,23.75,4.8,256733.75,150.14,427733.75,-0.36
10293,5266,1432653,3092,NSE_FO:BANKNIFTY29JUL2134700CE,2021-07-29 15:02:00,1,25,18.85,2021-07-29 15:06:00,0.0,25.0,8.55,257.5,54.64,256710.0,150.12,427710.0,-0.37
10294,5267,1432652,3092,NSE_FO:BANKNIFTY29JUL2134700PE,2021-07-29 14:55:00,1,25,36.15,2021-07-29 15:02:00,0.0,25.0,19.8,408.75,45.23,256452.5,149.97,427452.5,-0.43
10295,5268,1432651,3092,NSE_FO:BANKNIFTY29JUL2134700CE,2021-07-29 14:55:00,1,25,25.25,2021-07-29 15:02:00,0.0,25.0,18.85,160.0,25.35,256043.75,149.73,427043.75,-0.52
