,id,strategy,INST,EN_TIME,EN_TT,EN_Q,EN_PRICE,EX_TIME,EX_TT,EX_Q,EX_PRICE,P&L,P&L%,pnl_cumulative_absolute,pnl_cumulative_percentage,Equity Curve,Drawdown %
1409,1246970,870,NSE_FO:BANKNIFTY17NOV2242000CE,14-11-2022 11:45,1,25,299.75,14-11-2022 12:00,0.0,25.0,305.1,-133.75,-1.78,83288.75,50.48,248288.75,-15.07
1410,1246967,870,NSE_FO:BANKNIFTY17NOV2242000PE,14-11-2022 11:00,1,25,235.15,14-11-2022 11:45,0.0,25.0,234.45,17.5,0.3,83422.5,50.56,248422.5,-15.02
1411,1246964,870,NSE_FO:BANKNIFTY17NOV2242000CE,14-11-2022 10:15,1,25,300.85,14-11-2022 11:00,0.0,25.0,305.3,-111.25,-1.48,83405.0,50.55,248405.0,-15.03
1412,1246955,870,NSE_FO:BANKNIFTY17NOV2242100PE,14-11-2022 09:45,1,25,266.65,14-11-2022 10:15,0.0,25.0,290.0,-583.75,-8.76,83516.25,50.62,248516.25,-14.99
1413,1246627,870,NSE_FO:BANKNIFTY17NOV2242200PE,11-11-2022 14:15,1,25,318.75,11-11-2022 15:15,0.0,25.0,320.2,-36.25,-0.45,84100.0,50.97,249100.0,-14.79
1414,1246625,870,NSE_FO:BANKNIFTY17NOV2242200CE,11-11-2022 12:15,1,25,326.45,11-11-2022 14:15,0.0,25.0,322.35,102.5,1.26,84136.25,50.99,249136.25,-14.78
1415,1246619,870,NSE_FO:BANKNIFTY17NOV2242100PE,11-11-2022 11:15,1,25,310.35,11-11-2022 12:15,0.0,25.0,283.2,678.75,8.75,84033.75,50.93,249033.75,-14.81
1416,1246599,870,NSE_FO:BANKNIFTY17NOV2242100CE,11-11-2022 09:30,1,25,330.3,11-11-2022 11:15,0.0,25.0,329.5,20.0,0.24,83355.0,50.52,248355.0,-15.04
1417,1246354,870,NSE_FO:BANKNIFTY10NOV2241500PE,10-11-2022 11:45,1,25,82.9,,,,,,,,,1000.0,-1.0
1418,1246298,870,NSE_FO:BANKNIFTY10NOV2241500PE,10-11-2022 11:45,1,25,82.9,10-11-2022 12:15,0.0,25.0,107.5,-615.0,-29.67,83335.0,50.51,248335.0,-15.05
1419,1246197,870,NSE_FO:BANKNIFTY10NOV2241400CE,10-11-2022 11:00,1,25,117.45,10-11-2022 11:45,0.0,25.0,140.7,-581.25,-19.8,83950.0,50.88,248950.0,-14.84
1420,1246194,870,NSE_FO:BANKNIFTY10NOV2241500PE,10-11-2022 10:30,1,25,81.0,10-11-2022 11:00,0.0,25.0,119.2,-955.0,-47.16,84531.25,51.23,249531.25,-14.64
1421,1246190,870,NSE_FO:BANKNIFTY10NOV2241500CE,10-11-2022 09:45,1,25,129.5,10-11-2022 10:30,0.0,25.0,105.4,602.5,18.61,85486.25,51.81,250486.25,-14.31
1422,1246185,870,NSE_FO:BANKNIFTY10NOV2241600PE,10-11-2022 09:30,1,25,113.95,10-11-2022 09:45,0.0,25.0,132.0,-451.25,-15.84,84883.75,51.44,249883.75,-14.52
1423,1245837,870,NSE_FO:BANKNIFTY10NOV2241700CE,09-11-2022 12:15,1,25,208.45,09-11-2022 12:45,0.0,25.0,246.15,-942.5,-18.09,85335.0,51.72,250335.0,-14.37
1424,1245836,870,NSE_FO:BANKNIFTY10NOV2241800PE,09-11-2022 11:45,1,25,197.75,09-11-2022 12:15,0.0,25.0,233.0,-881.25,-17.83,86277.5,52.29,251277.5,-14.04
1425,1245834,870,NSE_FO:BANKNIFTY10NOV2241800CE,09-11-2022 11:30,1,25,202.6,09-11-2022 11:45,0.0,25.0,198.5,102.5,2.02,87158.75,52.82,252158.75,-13.74
1426,1245833,870,NSE_FO:BANKNIFTY10NOV2241800PE,09-11-2022 11:15,1,25,201.35,09-11-2022 11:30,0.0,25.0,197.7,91.25,1.81,87056.25,52.76,252056.25,-13.78
1427,1245826,870,NSE_FO:BANKNIFTY10NOV2241800CE,09-11-2022 11:00,1,25,198.15,09-11-2022 11:15,0.0,25.0,201.15,-75.0,-1.51,86965.0,52.71,251965.0,-13.81
1428,1245820,870,NSE_FO:BANKNIFTY10NOV2241800PE,09-11-2022 10:45,1,25,193.4,09-11-2022 11:00,0.0,25.0,205.2,-295.0,-6.1,87040.0,52.75,252040.0,-13.78
1429,1245480,870,NSE_FO:BANKNIFTY10NOV2241700CE,07-11-2022 09:45,1,25,259.35,07-11-2022 11:00,0.0,25.0,179.35,2000.0,30.85,87335.0,52.93,252335.0,-13.68
1430,1245210,870,NSE_FO:BANKNIFTY10NOV2241200CE,04-11-2022 10:00,1,25,414.6,04-11-2022 11:00,0.0,25.0,372.05,1063.75,10.26,86398.75,52.36,251398.75,-14.0
1431,1245143,870,NSE_FO:BANKNIFTY10NOV2241200PE,04-11-2022 15:00,1,25,351.35,04-11-2022 15:15,0.0,25.0,351.35,0.0,0.0,85335.0,51.72,250335.0,-14.37
1432,1245138,870,NSE_FO:BANKNIFTY10NOV2241200CE,04-11-2022 14:00,1,25,368.1,04-11-2022 15:00,0.0,25.0,367.3,20.0,0.22,85335.0,51.72,250335.0,-14.37
1433,1245135,870,NSE_FO:BANKNIFTY10NOV2241200PE,04-11-2022 13:30,1,25,350.0,04-11-2022 14:00,0.0,25.0,346.9,77.5,0.89,85315.0,51.71,250315.0,-14.37
1434,1245131,870,NSE_FO:BANKNIFTY10NOV2241200CE,04-11-2022 13:15,1,25,371.2,04-11-2022 13:30,0.0,25.0,374.25,-76.25,-0.82,85237.5,51.66,250237.5,-14.4
1435,1245128,870,NSE_FO:BANKNIFTY10NOV2241200PE,04-11-2022 13:00,1,25,352.05,04-11-2022 13:15,0.0,25.0,352.0,1.25,0.01,85313.75,51.71,250313.75,-14.37
1436,1245126,870,NSE_FO:BANKNIFTY10NOV2241100CE,04-11-2022 12:45,1,25,412.35,04-11-2022 13:00,0.0,25.0,421.1,-218.75,-2.12,85312.5,51.7,250312.5,-14.37
1437,1245125,870,NSE_FO:BANKNIFTY10NOV2241200PE,04-11-2022 12:30,1,25,337.75,04-11-2022 12:45,0.0,25.0,368.1,-758.75,-8.99,85531.25,51.84,250531.25,-14.3
1438,1245124,870,NSE_FO:BANKNIFTY10NOV2241200CE,04-11-2022 12:15,1,25,369.15,04-11-2022 12:30,0.0,25.0,389.7,-513.75,-5.57,86290.0,52.3,251290.0,-14.04
1439,1245122,870,NSE_FO:BANKNIFTY10NOV2241200PE,04-11-2022 11:00,1,25,380.5,04-11-2022 12:15,0.0,25.0,361.1,485.0,5.1,86803.75,52.61,251803.75,-13.86
1440,1245025,870,NSE_FO:BANKNIFTY10NOV2241200CE,04-11-2022 10:00,1,25,414.6,04-11-2022 11:00,0.0,25.0,372.05,1063.75,10.26,86318.75,52.31,251318.75,-14.03
1441,1244640,870,NSE_FO:BANKNIFTY03NOV2241400CE,03-11-2022 10:45,1,25,110.9,03-11-2022 13:00,0.0,25.0,30.9,2000.0,72.14,85255.0,51.67,250255.0,-14.39
1442,1244327,870,NSE_FO:BANKNIFTY03NOV2241100PE,02-11-2022 14:30,1,25,224.1,02-11-2022 15:15,0.0,25.0,220.9,80.0,1.43,83255.0,50.46,248255.0,-15.08
1443,1244323,870,NSE_FO:BANKNIFTY03NOV2241100CE,02-11-2022 14:00,1,25,260.7,02-11-2022 14:30,0.0,25.0,266.7,-150.0,-2.3,83175.0,50.41,248175.0,-15.11
1444,1244317,870,NSE_FO:BANKNIFTY03NOV2241200PE,02-11-2022 13:15,1,25,247.45,02-11-2022 14:00,0.0,25.0,283.35,-897.5,-14.51,83325.0,50.5,248325.0,-15.05
1445,1244311,870,NSE_FO:BANKNIFTY03NOV2241300CE,02-11-2022 12:15,1,25,250.35,02-11-2022 13:15,0.0,25.0,201.0,1233.75,19.71,84222.5,51.04,249222.5,-14.75
1446,1244262,870,NSE_FO:BANKNIFTY03NOV2241300PE,02-11-2022 11:45,1,25,243.35,02-11-2022 12:15,0.0,25.0,253.6,-256.25,-4.21,82988.75,50.3,247988.75,-15.17
1447,1244259,870,NSE_FO:BANKNIFTY03NOV2241300CE,02-11-2022 10:45,1,25,274.1,02-11-2022 11:45,0.0,25.0,261.75,308.75,4.51,83245.0,50.45,248245.0,-15.08
1448,1243992,870,NSE_FO:BANKNIFTY03NOV2241600CE,01-11-2022 10:30,1,25,309.25,01-11-2022 12:45,0.0,25.0,229.25,2000.0,25.87,82936.25,50.26,247936.25,-15.19
1449,1243847,870,NSE_FO:BANKNIFTY03NOV2241600CE,01-11-2022 10:30,1,25,309.25,01-11-2022 12:45,0.0,25.0,229.25,2000.0,25.87,80936.25,49.05,245936.25,-15.87
1450,1243493,870,NSE_FO:BANKNIFTY03NOV2241300PE,31-10-2022 12:30,1,25,345.45,31-10-2022 12:45,0.0,25.0,330.15,382.5,4.43,78936.25,47.84,243936.25,-16.56
1451,1243489,870,NSE_FO:BANKNIFTY03NOV2241300CE,31-10-2022 12:15,1,25,340.9,31-10-2022 12:30,0.0,25.0,342.15,-31.25,-0.37,78553.75,47.61,243553.75,-16.69
1452,1243485,870,NSE_FO:BANKNIFTY03NOV2241200PE,31-10-2022 11:00,1,25,348.3,31-10-2022 12:15,0.0,25.0,304.75,1088.75,12.5,78585.0,47.63,243585.0,-16.68
1453,1243479,870,NSE_FO:BANKNIFTY03NOV2241200CE,31-10-2022 09:45,1,25,384.5,31-10-2022 11:00,0.0,25.0,362.1,560.0,5.83,77496.25,46.97,242496.25,-17.05
1454,1205436,870,NSE_FO:BANKNIFTY03NOV2241300CE,28-10-2022 10:00,1,25,420.9,28-10-2022 11:30,0.0,25.0,340.9,2000.0,19.01,76936.25,46.63,241936.25,-17.24
1455,1205186,870,NSE_FO:BANKNIFTY27OCT2241200CE,27-10-2022 12:30,1,25,119.15,,,,,,,,,1000.0,-1.0
1456,1205058,870,NSE_FO:BANKNIFTY27OCT2241300CE,27-10-2022 14:15,1,25,77.75,27-10-2022 14:45,0.0,25.0,21.45,1407.5,72.41,74936.25,45.42,239936.25,-17.92
1457,1205054,870,NSE_FO:BANKNIFTY27OCT2241300PE,27-10-2022 13:00,1,25,86.0,27-10-2022 14:15,0.0,25.0,46.7,982.5,45.7,73528.75,44.56,238528.75,-18.41
1458,1205051,870,NSE_FO:BANKNIFTY27OCT2241200CE,27-10-2022 12:30,1,25,119.15,27-10-2022 13:00,0.0,25.0,151.15,-800.0,-26.86,72546.25,43.97,237546.25,-18.74
1459,1204965,870,NSE_FO:BANKNIFTY27OCT2241300PE,27-10-2022 11:30,1,25,101.6,27-10-2022 12:30,0.0,25.0,130.85,-731.25,-28.79,73346.25,44.45,238346.25,-18.47
1460,1204963,870,NSE_FO:BANKNIFTY27OCT2241400CE,27-10-2022 10:30,1,25,106.75,27-10-2022 11:30,0.0,25.0,67.85,972.5,36.44,74077.5,44.9,239077.5,-18.22
1461,1204958,870,NSE_FO:BANKNIFTY27OCT2241400PE,27-10-2022 09:30,1,25,128.75,27-10-2022 10:30,0.0,25.0,122.0,168.75,5.24,73105.0,44.31,238105.0,-18.55
1462,1185864,870,NSE_FO:BANKNIFTY27OCT2241300CE,25-10-2022 10:00,1,25,238.95,25-10-2022 11:15,0.0,25.0,158.95,2000.0,33.48,72936.25,44.2,237936.25,-18.61
1463,1185633,870,NSE_FO:BANKNIFTY27OCT2240900CE,21-10-2022 12:15,1,25,333.55,21-10-2022 13:00,0.0,25.0,376.05,-1062.5,-12.74,70936.25,42.99,235936.25,-19.29
1464,1185629,870,NSE_FO:BANKNIFTY27OCT2240800PE,21-10-2022 11:45,1,25,350.6,21-10-2022 12:15,0.0,25.0,343.1,187.5,2.14,71998.75,43.64,236998.75,-18.93
1465,1185626,870,NSE_FO:BANKNIFTY27OCT2240700CE,21-10-2022 10:30,1,25,374.95,21-10-2022 11:45,0.0,25.0,419.95,-1125.0,-12.0,71811.25,43.52,236811.25,-18.99
1466,1185265,870,NSE_FO:BANKNIFTY20OCT2240000PE,20-10-2022 10:15,1,25,104.75,20-10-2022 11:15,0.0,25.0,184.75,-2000.0,-76.37,72936.25,44.2,237936.25,-18.61
