,id,strategy,instrument_str,entry_timestamp,entry_transaction_type,entry_quantity,entry_price,exit_timestamp,exit_transaction_type,exit_quantity,exit_price,pnl_absolute,pnl_percentage,pnl_cumulative_absolute,pnl_cumulative_percentage,equity_curve,drawdown_percentage,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60
295,630051,953,NSE_FO:BANKNIFTY21APR2236600PE,21-04-2022 09:20,1,25,123.85,21-04-2022 15:01,0,25,2.1,3043.75,98.3,-2382.5,103.58,72617.5,-18.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,630532,953,NSE_FO:BANKNIFTY28APR2235900PE,22-04-2022 09:20,0,25,195.5,22-04-2022 15:01,1,25,305.0,2737.5,56.01,355.0,102.36,75355.0,-15.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,630531,953,NSE_FO:BANKNIFTY28APR2236400CE,22-04-2022 09:20,1,25,441.8,22-04-2022 15:01,0,25,303.55,3456.25,31.29,3811.25,107.2,78811.25,-11.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,630528,953,NSE_FO:BANKNIFTY28APR2236900CE,22-04-2022 09:20,0,25,222.45,22-04-2022 15:01,1,25,138.55,-2097.5,-37.72,1713.75,98.71,76713.75,-14.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,630523,953,NSE_FO:BANKNIFTY28APR2236400PE,22-04-2022 09:20,1,25,378.3,22-04-2022 15:01,0,25,549.15,-4271.25,-45.16,-2557.5,101.51,72442.5,-18.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,633251,953,NSE_FO:BANKNIFTY28APR2235200PE,25-04-2022 09:20,0,25,229.85,25-04-2022 15:01,1,25,146.8,-2076.25,-36.13,-4633.75,101.74,70366.25,-21.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,633247,953,NSE_FO:BANKNIFTY28APR2235700CE,25-04-2022 09:20,1,25,399.15,25-04-2022 15:01,0,25,623.25,-5602.5,-56.14,-10236.25,94.89,64763.75,-27.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,633241,953,NSE_FO:BANKNIFTY28APR2236200CE,25-04-2022 09:20,0,25,190.8,25-04-2022 15:01,1,25,336.3,3637.5,76.26,-6598.75,104.51,68401.25,-23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,633216,953,NSE_FO:BANKNIFTY28APR2235700PE,25-04-2022 09:20,1,25,420.25,25-04-2022 15:01,0,25,277.35,3572.5,34.0,-3026.25,99.66,71973.75,-19.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,634134,953,NSE_FO:BANKNIFTY28APR2236000PE,26-04-2022 09:20,0,25,135.15,26-04-2022 15:01,1,25,161.7,663.75,19.64,-2362.5,101.85,72637.5,-18.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,634132,953,NSE_FO:BANKNIFTY28APR2236500CE,26-04-2022 09:20,1,25,317.05,26-04-2022 15:01,0,25,218.1,2473.75,31.21,111.25,105.04,75111.25,-15.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,634131,953,NSE_FO:BANKNIFTY28APR2237000CE,26-04-2022 09:20,0,25,119.4,26-04-2022 15:01,1,25,68.5,-1272.5,-42.63,-1161.25,100.97,73838.75,-17.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,634128,953,NSE_FO:BANKNIFTY28APR2236500PE,26-04-2022 09:20,1,25,307.35,26-04-2022 15:01,0,25,378.55,-1780.0,-23.17,-2941.25,102.66,72058.75,-19.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,634796,953,NSE_FO:BANKNIFTY28APR2235700PE,27-04-2022 09:20,0,25,84.3,27-04-2022 15:01,1,25,58.0,-657.5,-31.2,-3598.75,102.79,71401.25,-20.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,634793,953,NSE_FO:BANKNIFTY28APR2236200CE,27-04-2022 09:20,1,25,233.4,27-04-2022 15:01,0,25,159.6,1845.0,31.62,-1753.75,104.31,73246.25,-17.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,634791,953,NSE_FO:BANKNIFTY28APR2236700CE,27-04-2022 09:20,0,25,70.05,27-04-2022 15:01,1,25,37.85,-805.0,-45.97,-2558.75,103.67,72441.25,-18.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,634787,953,NSE_FO:BANKNIFTY28APR2236200PE,27-04-2022 09:20,1,25,257.5,27-04-2022 15:01,0,25,244.65,321.25,4.99,-2237.5,104.74,72762.5,-18.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,635199,953,NSE_FO:BANKNIFTY28APR2235600PE,28-04-2022 09:20,0,25,15.15,28-04-2022 14:02,1,25,2.4,-318.75,-84.16,-2556.25,100.76,72443.75,-18.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,635198,953,NSE_FO:BANKNIFTY28APR2236100CE,28-04-2022 09:20,1,25,142.8,28-04-2022 14:02,0,25,298.25,-3886.25,-108.86,-6442.5,97.61,68557.5,-23.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,635197,953,NSE_FO:BANKNIFTY28APR2236600CE,28-04-2022 09:20,0,25,18.45,28-04-2022 14:02,1,25,9.05,-235.0,-50.95,-6677.5,101.19,68322.5,-23.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
