,id,strategy,instrument_str,entry_timestamp,entry_transaction_type,entry_quantity,entry_price,exit_timestamp,exit_transaction_type,exit_quantity,exit_price,pnl_absolute,pnl_percentage,pnl_cumulative_absolute,pnl_cumulative_percentage,equity_curve,drawdown_percentage,date,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
31,271551,511,NSE_FO:BANKNIFTY30JUL2022100CE,07-28-2020 15:00,1,25,359.9,28-07-2020 15:30,0,25,275.0,2122.5,23.59,31827.5,20.27,188827.5,-0.3,28-07-2020,1,2122.5,0,0.0,-572.5,,,,13-08-2020,2.0,915.0
32,271556,511,NSE_FO:BANKNIFTY30JUL2022100CE,07-29-2020 09:45,1,25,267.95,29-07-2020 14:30,0,25,244.8,578.75,8.64,32406.25,20.64,189406.25,0.0,29-07-2020,2,2701.25,0,0.0,0.0,,,,14-08-2020,3.0,-2000.0
33,271572,511,NSE_FO:BANKNIFTY30JUL2022100PE,07-29-2020 14:30,1,25,161.1,29-07-2020 15:30,0,25,175.0,-347.5,-8.63,32058.75,20.42,189058.75,-0.18,29-07-2020,0,0.0,1,-347.5,-347.5,,,,17-08-2020,1.0,2271.25
34,271590,511,NSE_FO:BANKNIFTY30JUL2021900PE,07-30-2020 13:30,1,25,59.2,30-07-2020 15:30,0,25,139.2,-2000.0,-135.14,30058.75,19.15,187058.75,-1.24,30-07-2020,0,0.0,2,-2347.5,-2347.5,,,,19-08-2020,3.0,-468.75
35,271636,511,NSE_FO:BANKNIFTY06AUG2021700PE,07-31-2020 09:45,1,25,418.55,31-07-2020 14:30,0,25,391.75,670.0,6.4,30728.75,19.57,187728.75,-0.89,31-07-2020,1,670.0,0,0.0,-1677.5,,,,20-08-2020,1.0,-2000.0
36,271652,511,NSE_FO:BANKNIFTY06AUG2021700CE,07-31-2020 14:30,1,25,416.1,31-07-2020 15:30,0,25,370.0,1152.5,11.08,31881.25,20.31,188881.25,-0.28,31-07-2020,2,1822.5,0,0.0,-525.0,,,,21-08-2020,1.0,58.75
37,271668,511,NSE_FO:BANKNIFTY06AUG2021300PE,08-03-2020 10:15,1,25,332.55,03-08-2020 15:30,0,25,402.25,-1742.5,-20.96,30138.75,19.2,187138.75,-1.2,03-08-2020,0,0.0,1,-1742.5,-2267.5,,,,24-08-2020,1.0,-275.0
38,271684,511,NSE_FO:BANKNIFTY06AUG2021500PE,08-04-2020 13:30,1,25,279.5,04-08-2020 13:45,0,25,324.7,-1130.0,-16.17,29008.75,18.48,186008.75,-1.79,04-08-2020,0,0.0,2,-2872.5,-3397.5,,,,25-08-2020,2.0,2212.5
39,271691,511,NSE_FO:BANKNIFTY06AUG2021400CE,08-04-2020 13:45,1,25,277.9,04-08-2020 15:30,0,25,312.7,-870.0,-12.52,28138.75,17.92,185138.75,-2.25,04-08-2020,0,0.0,3,-3742.5,-4267.5,,,,26-08-2020,3.0,-457.5
40,271720,511,NSE_FO:BANKNIFTY06AUG2021900CE,08-05-2020 10:15,1,25,225.45,05-08-2020 12:30,0,25,112.85,2815.0,49.94,30953.75,19.72,187953.75,-0.77,05-08-2020,1,2815.0,0,0.0,-1452.5,,,,27-08-2020,2.0,1040.0
41,271728,511,NSE_FO:BANKNIFTY06AUG2021600PE,08-05-2020 12:30,1,25,183.6,05-08-2020 15:30,0,25,190.85,-181.25,-3.95,30772.5,19.6,187772.5,-0.86,05-08-2020,0,0.0,1,-181.25,-1633.75,,,,28-08-2020,2.0,-2000.0
42,271739,511,NSE_FO:BANKNIFTY06AUG2021600PE,08-06-2020 09:15,1,25,190.85,06-08-2020 10:45,0,25,181.75,227.5,4.77,31000.0,19.75,188000.0,-0.74,06-08-2020,1,227.5,0,0.0,-1406.25,,,,31-08-2020,2.0,-675.0
43,271752,511,NSE_FO:BANKNIFTY06AUG2021600CE,08-06-2020 10:45,1,25,181.9,06-08-2020 12:30,0,25,219.85,-948.75,-20.86,30051.25,19.14,187051.25,-1.24,06-08-2020,0,0.0,1,-948.75,-2355.0,,,,01-09-2020,1.0,1651.25
44,271759,511,NSE_FO:BANKNIFTY06AUG2021700PE,08-06-2020 12:30,1,25,118.05,06-08-2020 12:45,0,25,115.2,71.25,2.41,30122.5,19.19,187122.5,-1.21,06-08-2020,1,71.25,0,0.0,-2283.75,,,,02-09-2020,2.0,4335.0
45,271763,511,NSE_FO:BANKNIFTY06AUG2021700CE,08-06-2020 12:45,1,25,120.95,06-08-2020 15:30,0,25,0.9,3001.25,99.26,33123.75,21.1,190123.75,0.0,06-08-2020,2,3072.5,0,0.0,0.0,,,,03-09-2020,2.0,551.25
