,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
109,NSE_FO:BANKNIFTY06AUG2021400CE [LOCAL],31-07-2020 09:17,ad35f4fb261a4b4a8585dd31e83621ea,SELL,15,474.05,INTRADAY,MARKET,31-07-2020 09:41,ac4b62f23295409c97372ec579c3052f,BUY,15,635.65,INTRADAY,MARKET,-2424.0,17468.25,-34.09,30.15,517468.25,-0.47
110,NSE_FO:BANKNIFTY06AUG2021900CE [LOCAL],31-07-2020 09:41,d5f9933edd1041ad95a869fb5236a304,SELL,15,357.95,INTRADAY,MARKET,31-07-2020 15:10,0bee102b82434ed39621e7f989a72d8c,BUY,15,288.5,INTRADAY,MARKET,1041.75,18510.0,19.4,37.02,518510.0,-0.27
111,NSE_FO:BANKNIFTY06AUG2021400PE [LOCAL],03-08-2020 09:17,10596bf491764afab831bd545bddab25,SELL,15,372.9,INTRADAY,MARKET,03-08-2020 13:00,60f2e90c328640f9950032e26420b0e9,BUY,15,498.0,INTRADAY,MARKET,-1876.5,16633.5,-33.55,33.27,516633.5,-0.63
112,NSE_FO:BANKNIFTY06AUG2021400CE [LOCAL],03-08-2020 09:17,a9dd7fd7231c434a99116faf2ce34e79,SELL,15,360.0,INTRADAY,MARKET,03-08-2020 15:10,bdfa918f84bb485984af9ac8dfa21c6a,BUY,15,226.65,INTRADAY,MARKET,2000.25,18633.75,37.04,37.91,518633.75,-0.24
113,NSE_FO:BANKNIFTY06AUG2020900PE [LOCAL],03-08-2020 13:00,71473505a3074bf09a328c40df4c1f72,SELL,15,237.25,INTRADAY,MARKET,03-08-2020 15:10,6d8c7287867e448eb2ba2e19a23b4ccc,BUY,15,215.8,INTRADAY,MARKET,321.75,18955.5,9.04,33.91,518955.5,-0.18
114,NSE_FO:BANKNIFTY06AUG2021300PE [LOCAL],04-08-2020 09:17,b5c44799ee5c45cf9b6f85b51028c829,SELL,15,345.9,INTRADAY,MARKET,04-08-2020 15:10,7c28951e67c6400e92758736cac93aa3,BUY,15,166.65,INTRADAY,MARKET,2688.75,21644.25,51.82,40.74,521644.25,0.0
115,NSE_FO:BANKNIFTY06AUG2021300CE [LOCAL],04-08-2020 09:17,123917ad972e47f2b3addb2f85aa5138,SELL,15,300.0,INTRADAY,MARKET,04-08-2020 13:16,f4f1b46836424967ac1cb392b33728a4,BUY,15,385.05,INTRADAY,MARKET,-1275.75,20368.5,-28.35,35.36,520368.5,-0.24
116,NSE_FO:BANKNIFTY06AUG2021700CE [LOCAL],04-08-2020 13:16,c59ca815520c476cbc08312eb42ea275,SELL,15,181.7,INTRADAY,MARKET,04-08-2020 15:10,e55cc372240c41569f3bd185a211d266,BUY,15,180.95,INTRADAY,MARKET,11.25,20379.75,0.41,40.76,520379.75,-0.24
117,NSE_FO:BANKNIFTY06AUG2021700PE [LOCAL],05-08-2020 09:17,438f15c98c314423b3f83582e7830f8b,SELL,15,231.85,INTRADAY,MARKET,05-08-2020 11:58,85c710cf9efe434d89cdb5866c347d1c,BUY,15,327.7,INTRADAY,MARKET,-1437.75,18942.0,-41.34,34.69,518942.0,-0.52
118,NSE_FO:BANKNIFTY06AUG2021700CE [LOCAL],05-08-2020 09:17,4a3013cc2ed14cf2b9192f23c17b62ee,SELL,15,227.45,INTRADAY,MARKET,05-08-2020 09:50,d253fa65a5a94297aa87252e72657021,BUY,15,334.05,INTRADAY,MARKET,-1599.0,17343.0,-46.87,37.56,517343.0,-0.82
119,NSE_FO:BANKNIFTY06AUG2022100CE [LOCAL],05-08-2020 09:50,4566c4a35d5042db993be1e2dccc1e0b,SELL,15,131.2,INTRADAY,MARKET,05-08-2020 11:58,c8acf845ec6b4843a338b1a536ec7a10,BUY,15,65.95,INTRADAY,MARKET,978.75,18321.75,49.73,36.64,518321.75,-0.64
120,NSE_FO:BANKNIFTY06AUG2021400CE [LOCAL],05-08-2020 11:58,5852ff33220d4734b7fe52481771523b,SELL,15,329.5,INTRADAY,MARKET,05-08-2020 11:58,eb001afde0c241efac0d237b1ae350cf,BUY,15,329.5,INTRADAY,MARKET,0.0,18321.75,0.0,34.69,518321.75,-0.64
121,NSE_FO:BANKNIFTY06AUG2021600PE [LOCAL],05-08-2020 11:58,e3415c73c29440cc8a1042ac83224bbe,SELL,15,268.65,INTRADAY,MARKET,05-08-2020 15:10,61134e3822984e2aa1123e03c11a4452,BUY,15,206.8,INTRADAY,MARKET,927.75,19249.5,23.02,38.5,519249.5,-0.46
122,NSE_FO:BANKNIFTY06AUG2021600CE [LOCAL],05-08-2020 11:58,2617ba5715664a7fb86bd44eefd6ceca,SELL,15,225.15,INTRADAY,MARKET,05-08-2020 15:10,8859601c594a4d4b9a3afe560adb033c,BUY,15,159.85,INTRADAY,MARKET,979.5,20229.0,29.0,40.46,520229.0,-0.27
123,NSE_FO:BANKNIFTY06AUG2021600PE [LOCAL],06-08-2020 09:17,fbf8e3019b894047847d0761b0420768,SELL,15,207.0,INTRADAY,MARKET,06-08-2020 12:03,6949d6bf086f4b5dbe6a98b21151f80b,BUY,15,296.0,INTRADAY,MARKET,-1335.0,18894.0,-43.0,37.79,518894.0,-0.53
124,NSE_FO:BANKNIFTY06AUG2021600CE [LOCAL],06-08-2020 09:17,012524c8926b4c08abf26cb5bcbfd600,SELL,15,163.0,INTRADAY,MARKET,06-08-2020 12:50,2679abf4568244bc8bfbc272a8b9e5c5,BUY,15,237.4,INTRADAY,MARKET,-1116.0,17778.0,-45.64,35.56,517778.0,-0.74
125,NSE_FO:BANKNIFTY06AUG2021200PE [LOCAL],06-08-2020 12:03,ce0502fab0ab4036b5a5ca27b3c304c9,SELL,15,108.35,INTRADAY,MARKET,06-08-2020 14:20,df6266147a684cb998cb186a439be359,BUY,15,2.7,INTRADAY,MARKET,1584.75,19362.75,97.51,40.08,519362.75,-0.44
126,NSE_FO:BANKNIFTY06AUG2021800PE [LOCAL],06-08-2020 12:26,a1c73c0edeb840c3ac0a685d90ce3b8b,SELL,15,207.8,INTRADAY,MARKET,06-08-2020 14:20,14b62a4261204c858dc1be845aca91af,BUY,15,175.35,INTRADAY,MARKET,486.75,19849.5,15.62,35.12,519849.5,-0.34
127,NSE_FO:BANKNIFTY06AUG2021800CE [LOCAL],06-08-2020 12:50,1878b7d2951d4f8eb155a7e64019d42e,SELL,15,113.1,INTRADAY,MARKET,06-08-2020 12:58,e4cdaeeff2854c4fa7e08820046e0b07,BUY,15,160.05,INTRADAY,MARKET,-704.25,19145.25,-41.51,34.15,519145.25,-0.48
128,NSE_FO:BANKNIFTY06AUG2022000CE [LOCAL],06-08-2020 12:58,f257fcaa237a4cc2a020085f14e959c2,SELL,15,62.0,INTRADAY,MARKET,06-08-2020 14:20,5a8237d08b4e4879b3b23ecb5e78aa1b,BUY,15,2.4,INTRADAY,MARKET,894.0,20039.25,96.13,36.91,520039.25,-0.31
129,NSE_FO:BANKNIFTY06AUG2021600PE [LOCAL],06-08-2020 14:20,1a0424c97d584a55aad9dac1818ac2f4,SELL,15,47.5,INTRADAY,MARKET,06-08-2020 14:26,2a1aa5e824804e55aedb3f104366f672,BUY,15,133.35,INTRADAY,MARKET,-1287.75,18751.5,-180.74,37.5,518751.5,-0.55
130,NSE_FO:BANKNIFTY06AUG2021600CE [LOCAL],06-08-2020 14:20,7e03e67707644d9bb749943ff9396d2b,SELL,15,83.25,INTRADAY,MARKET,06-08-2020 15:10,7266311ad87b46948903521b386505f0,BUY,15,33.25,INTRADAY,MARKET,750.0,19501.5,60.06,39.57,519501.5,-0.41
131,NSE_FO:BANKNIFTY06AUG2021300PE [LOCAL],06-08-2020 14:26,4825f3d99010465b91e12be692940a81,SELL,15,19.25,INTRADAY,MARKET,06-08-2020 15:10,b85eed3068ed4f38bc47347c51c53812,BUY,15,0.35,INTRADAY,MARKET,283.5,19785.0,98.18,38.07,519785.0,-0.36
132,NSE_FO:BANKNIFTY13AUG2021500PE [LOCAL],07-08-2020 09:17,2091a7d4a5a44ccbbf5e5557b821f46e,SELL,15,408.4,INTRADAY,MARKET,07-08-2020 15:10,7b34daf17d574258853c0985f67b3cbc,BUY,15,232.5,INTRADAY,MARKET,2638.5,22423.5,43.07,40.66,522423.5,0.0
133,NSE_FO:BANKNIFTY13AUG2021500CE [LOCAL],07-08-2020 09:17,2c08622487d642ce97c6bfb9a7470736,SELL,15,368.9,INTRADAY,MARKET,07-08-2020 12:04,e3513102c6544bfcb5119cd39ef75057,BUY,15,508.4,INTRADAY,MARKET,-2092.5,20331.0,-37.82,35.38,520331.0,-0.4
134,NSE_FO:BANKNIFTY13AUG2022000CE [LOCAL],07-08-2020 12:04,6981b59e1fc84cbca82a66c3f1dfef24,SELL,15,251.2,INTRADAY,MARKET,07-08-2020 15:10,0c12fdae24d940009f8b43613110d690,BUY,15,229.0,INTRADAY,MARKET,333.0,20664.0,8.84,41.33,520664.0,-0.34
135,NSE_FO:BANKNIFTY13AUG2021900PE [LOCAL],10-08-2020 09:17,3291b654c56c431aa7a67688a3aee5af,SELL,15,320.45,INTRADAY,MARKET,10-08-2020 15:10,47c829620b834967b712a1d1b0be09c4,BUY,15,283.75,INTRADAY,MARKET,550.5,21214.5,11.45,42.43,521214.5,-0.23
136,NSE_FO:BANKNIFTY13AUG2021900CE [LOCAL],10-08-2020 09:17,853d73da034a4aaa8b0c1b331ccb4669,SELL,15,309.2,INTRADAY,MARKET,10-08-2020 15:10,890f43766fb045c78e71f021753db2f8,BUY,15,321.0,INTRADAY,MARKET,-177.0,21037.5,-3.82,42.08,521037.5,-0.27
137,NSE_FO:BANKNIFTY13AUG2022200PE [LOCAL],11-08-2020 09:17,cfdc435accc54bb3b8f168233a254f99,SELL,15,275.25,INTRADAY,MARKET,11-08-2020 15:10,76fa233563ae44ecaddc86129be35e93,BUY,15,187.95,INTRADAY,MARKET,1309.5,22347.0,31.72,44.69,522347.0,-0.01
