,instrument_str,entry_timestamp,EN_ID,entry_transaction_type,entry_quantity,entry_price,EN_CODE,EN_VAR,exit_timestamp,EX_ID,exit_transaction_type,exit_quantity,exit_price,EX_CODE,EX_VAR,pnl_absolute,pnl_cumulative_absolute,pnl_percentage,pnl_cumulative_percentage,equity_curve,drawdown_percentage,Drawdown ?,Date
2907,NSE_FO:BANKNIFTY06OCT2239000PE [LOCAL],06-10-2022 15:01,a227ad0e369247d9893cfca71fbbcae6,SELL,30,0.75,INTRADAY,MARKET,06-10-2022 15:01,ab8b4efbd4d34f29b91cdc878d0abb9f,BUY,30,0.55,INTRADAY,MARKET,6.0,343660.5,26.67,200.97,514660.5,-2.78,-14708.0,06-10-2022
2908,NSE_FO:BANKNIFTY06OCT2239600CE [LOCAL],06-10-2022 15:08,3cf62e1d7eb541589e600f8660929b37,SELL,30,0.2,INTRADAY,MARKET,06-10-2022 15:08,908abeb3e0734ad0a3347955ec748a9a,BUY,30,0.2,INTRADAY,MARKET,0.0,343660.5,0.0,200.97,514660.5,-2.78,-14708.0,06-10-2022
2909,NSE_FO:BANKNIFTY06OCT2239000PE [LOCAL],06-10-2022 15:08,8c61aaa18e1f4d34aa0ea1012ae8084b,SELL,30,0.55,INTRADAY,MARKET,06-10-2022 15:08,2bab6a012a0446ea9d18a901fd6305e3,BUY,30,0.6,INTRADAY,MARKET,-1.5,343659.0,-9.09,200.97,514659.0,-2.78,-14709.5,06-10-2022
2910,NSE_FO:BANKNIFTY13OCT2239300CE [LOCAL],07-10-2022 09:25,887abaf2d4054de18544df33b59db350,SELL,30,315.25,INTRADAY,MARKET,07-10-2022 09:25,3a5c8f8287474b978722f4082e65d68e,BUY,30,352.25,INTRADAY,MARKET,-1110.0,342549.0,-11.74,200.32,513549.0,-2.99,-15819.5,07-10-2022
2911,NSE_FO:BANKNIFTY13OCT2238700PE [LOCAL],07-10-2022 09:25,277b38fc793e4a3598c1ffd25e5f11b8,SELL,30,328.3,INTRADAY,MARKET,07-10-2022 09:25,e59337a57f87476282ad7c6fb278aac2,BUY,30,236.9,INTRADAY,MARKET,2742.0,345291.0,27.84,201.92,516291.0,-2.47,-13077.5,07-10-2022
2912,NSE_FO:BANKNIFTY13OCT2238900CE [LOCAL],10-10-2022 09:25,b4f6adf5ddef4a7fb3531a7eaa2d1dd4,SELL,30,254.65,INTRADAY,MARKET,10-10-2022 09:25,c7c9aad314294f539e3b8e4df7942583,BUY,30,532.73,INTRADAY,MARKET,-8342.5,336948.5,-109.2,197.05,507948.5,-4.05,-21420.0,10-10-2022
2913,NSE_FO:BANKNIFTY13OCT2238300PE [LOCAL],10-10-2022 09:25,fafe64b2b66b43b8bdbee7e4bc5645be,SELL,30,255.6,INTRADAY,MARKET,10-10-2022 09:25,500be34015a440e5975b1352e9499cf1,BUY,30,110.85,INTRADAY,MARKET,4342.5,341291.0,56.63,199.59,512291.0,-3.23,-17077.5,10-10-2022
2914,NSE_FO:BANKNIFTY13OCT2239200CE [LOCAL],11-10-2022 09:25,78c96ebc1c434febab1408a1c6a6d2cd,SELL,30,234.3,INTRADAY,MARKET,11-10-2022 09:25,11e6e5a95e834b70ae9d12a2a6f2fcf3,BUY,30,156.45,INTRADAY,MARKET,2335.5,343626.5,33.23,200.95,514626.5,-2.78,-14742.0,11-10-2022
2915,NSE_FO:BANKNIFTY13OCT2238600PE [LOCAL],11-10-2022 09:25,c6d143f6d57743ba8a17decfdcd1b27c,SELL,30,211.15,INTRADAY,MARKET,11-10-2022 09:25,10a77d2be1b548538243a36cfeb738d2,BUY,30,245.95,INTRADAY,MARKET,-1044.0,342582.5,-16.48,200.34,513582.5,-2.98,-15786.0,11-10-2022
2916,NSE_FO:BANKNIFTY13OCT2239100CE [LOCAL],12-10-2022 09:25,1b7b0a8b3fbc4efaa7b3514b7a7ba837,SELL,30,181.85,INTRADAY,MARKET,12-10-2022 09:25,44e5046312e3463982de90d955a00de6,BUY,30,272.1,INTRADAY,MARKET,-2707.5,339875.0,-49.63,198.76,510875.0,-3.49,-18493.5,12-10-2022
2917,NSE_FO:BANKNIFTY13OCT2238500PE [LOCAL],12-10-2022 09:25,294023238b5d412fb98b1130d26b9bb0,SELL,30,149.25,INTRADAY,MARKET,12-10-2022 09:25,c3a2c36f3d0c4fdf8c2651e3c37ac3b4,BUY,30,55.85,INTRADAY,MARKET,2802.0,342677.0,62.58,200.4,513677.0,-2.96,-15691.5,12-10-2022
2918,NSE_FO:BANKNIFTY13OCT2239300CE [LOCAL],13-10-2022 09:25,0e7985da12f340f4b60a36573a8acdeb,SELL,30,60.9,INTRADAY,MARKET,13-10-2022 09:25,bf4bd7c800ac4e08a11c1665addb3be0,BUY,30,18.95,INTRADAY,MARKET,1258.5,343935.5,68.88,201.13,514935.5,-2.73,-14433.0,13-10-2022
2919,NSE_FO:BANKNIFTY13OCT2238700PE [LOCAL],13-10-2022 09:25,5fd7c87fc90f4b6d8ac776d65b1fdbcb,SELL,30,54.35,INTRADAY,MARKET,13-10-2022 09:25,361d4597e2eb448aa34b37d8b9098cdb,BUY,30,157.7,INTRADAY,MARKET,-3100.5,340835.0,-190.16,199.32,511835.0,-3.31,-17533.5,13-10-2022
